Names	!color
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003151735	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003152735	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003152955	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003164295	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003165195	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003235175	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003235725	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003246955	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003247875	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003249775	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003250545	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003589585	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601595	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601605	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601635	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601655	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601665	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601695	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601715	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601725	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601735	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601775	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601785	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601835	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601845	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601875	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003601885	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003604315	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003661945	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003661965	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003661975	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662005	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662025	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662035	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662065	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662085	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662095	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662125	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662145	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662155	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662185	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662205	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662215	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662245	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662265	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662275	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662305	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662325	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662345	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662365	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662385	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662395	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662425	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662445	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662455	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662485	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662505	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662515	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662535	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662565	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662585	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662595	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662625	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662645	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662655	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662685	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662705	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662715	#CC0000
Bathyarchaeota-none-none-none-none-Bathyarchaeota_archaeon-GCA_003662745	#CC0000
Crenarchaeota-none-none-none-none-uncultured_marine_crenarchaeote_'Gulf_of_Maine'-GCA_000230485	#CC0066
Crenarchaeota-none-none-none-none-crenarchaeote_SCGC_AAA261-C22-GCA_000371945	#CC0066
Crenarchaeota-none-none-none-none-crenarchaeote_SCGC_AAA261-L14-GCA_000372145	#CC0066
Crenarchaeota-none-none-none-none-crenarchaeote_SCGC_AAA261-F05-GCA_000375565	#CC0066
Crenarchaeota-none-none-none-none-crenarchaeote_SCGC_AAA261-G18-GCA_000375605	#CC0066
Crenarchaeota-none-none-none-none-crenarchaeote_SCGC_AAA261-L22-GCA_000375665	#CC0066
Crenarchaeota-none-none-none-none-crenarchaeote_SCGC_AAA261-N23-GCA_000375685	#CC0066
Crenarchaeota-none-none-none-none-crenarchaeote_SCGC_AAA261-N13-GCA_000376005	#CC0066
Crenarchaeota-none-none-none-none-Crenarchaeota_archaeon_SCGC_AAA471-L14-GCA_000399825	#CC0066
Crenarchaeota-none-none-none-none-Crenarchaeota_archaeon_SCGC_AAA471-L13-GCA_000402095	#CC0066
